;0,00;0,00;0,00;
0,00;0,500000;0,500000;0,500000;
0,05;0,500000;0,500000;0,500000;
0,10;0,500000;0,500000;0,500000;
0,15;0,500000;0,500000;0,500000;
0,20;0,500000;0,500000;0,500000;
0,25;0,500000;0,500000;0,500000;
0,30;0,500000;0,500000;0,501250;
0,35;0,501250;0,501250;0,501250;
0,40;0,501250;0,501250;0,501250;
0,45;0,501250;0,501250;0,501250;
0,50;0,501250;0,501250;0,501250;
0,55;0,501250;0,501250;0,501250;
0,60;0,501250;0,501250;0,501250;
0,65;0,501250;0,502500;0,502500;
0,70;0,502500;0,502500;0,502500;
0,75;0,502500;0,502500;0,502500;
0,80;0,502500;0,502500;0,502500;
0,85;0,502500;0,502500;0,502500;
0,90;0,502500;0,502500;0,502500;
0,95;0,502500;0,502500;0,502500;
